Ano,Estado,Mortos,Pessoas,Acidente
2014,MT,282,9391,4464
2014,PA,195,7368,3232
2014,PB,182,7736,3658
2014,PE,425,16654,7405
2014,PI,228,5903,2728
2014,PR,778,37791,17177
2014,RJ,537,33580,15403
2014,RN,150,7954,3675
2014,RO,103,6735,2704
2014,RR,30,884,309
2014,RS,507,30532,14432
2014,SC,536,38519,18190
2014,SE,64,3497,1562
2014,SP,307,25232,12138
2014,TO,117,3282,1301
2015,AC,20,1151,468
2015,AL,118,2402,1071
2015,AM,15,451,131
2015,AP,11,599,218
2015,BA,642,16183,7152
2015,CE,202,6155,2636
2015,DF,47,2552,1040
2015,ES,172,10630,4762
2015,GO,442,13846,6131
2015,MA,300,4815,2031
2015,MG,961,33216,15537
2015,MS,160,6258,2818
2015,MT,240,8231,3759
2015,PA,191,5500,2317
2015,PB,170,5874,2753
2015,PE,410,11415,5078
2015,PI,169,4667,2156
2015,PR,584,28303,12790
2015,RJ,401,20891,9570
2015,RN,185,5569,2521
2015,RO,111,5046,2118
2015,RR,31,818,319
2015,RS,396,21533,9869
2015,SC,460,30080,14033
2015,SE,67,2513,1097
2015,SP,267,18376,8901
2015,TO,93,1950,873
2016,AC,23,820,330
2016,AL,104,2136,951
2016,AM,22,481,166
2016,AP,16,486,198
2016,BA,610,12901,5495
2016,CE,224,5702,2419
2016,DF,58,2656,1066
2016,ES,187,7232,3230
2016,GO,351,11447,4967
2016,MA,221,3592,1512
2016,MG,829,31138,14369
2016,MS,146,5770,2466
2016,MT,220,7118,3262
2016,PA,184,4239,1732
2016,PB,156,4335,1932
2016,PE,386,8220,3623
2016,PI,149,3473,1501
2016,PR,651,24427,11030
2016,RJ,370,13458,6118
2016,RN,144,3679,1626
2016,RO,102,4036,1715
2016,RR,24,743,296
2016,RS,348,17077,7514
2016,SC,450,22982,10604
2016,SE,57,1726,763
2016,SP,255,14377,6631
2016,TO,109,1984,836
2017,AC,18,793,304
2017,AL,102,2022,904
2017,AM,14,325,131
2017,AP,9,431,166
2017,BA,594,11316,4687
2017,CE,190,4597,1954
2017,DF,46,2713,1093
2017,ES,201,6872,3004
2017,GO,344,9961,4367
2017,MA,246,3799,1583
2017,MG,868,28815,12727
2017,MS,162,4631,1933
2017,MT,191,7584,3526
2017,PA,162,3685,1504
2017,PB,139,4343,1852
2017,PE,343,7819,3440
2017,PI,209,3703,1540
2017,PR,612,23826,10689
2017,RJ,341,13205,5967
2017,RN,139,3336,1457
2017,RO,119,4513,1831
2017,RR,37,737,286
2017,RS,391,14988,6385
2017,SC,381,23352,10663
2017,SE,51,1756,763
2017,SP,255,13355,6011
2017,TO,82,1892,785
2018,AC,26,629,235
2018,AL,91,1625,691
2018,AM,17,347,124
2018,AP,15,543,173
2018,BA,456,8987,3555
2018,CE,180,3997,1697
2018,DF,44,2186,867
2018,ES,133,6150,2642
2018,GO,282,8211,3463
2018,MA,231,3326,1272
2018,MG,693,21885,9066
2018,MS,109,3702,1529
2018,MT,229,5758,2631
2018,PA,143,3118,1260
2018,PB,133,3747,1588
2018,PE,296,6435,2715
2018,PI,159,3329,1370
2018,PR,494,18274,7951
2018,RJ,276,10787,4575
2018,RN,118,3285,1416
2018,RO,91,4191,1629
2018,RR,22,616,236
2018,RS,314,10885,4445
2018,SC,386,19338,8494
2018,SE,41,1298,559
2018,SP,207,10548,4516
2018,TO,85,1592,589
2019,AC,24,601,254
2019,AL,97,1499,629
2019,AM,18,246,101
2019,AP,16,332,128
2019,BA,475,8879,3470
2019,CE,157,4101,1694
2019,DF,52,2727,1090
2019,ES,147,6581,2842
2019,GO,277,8040,3354
2019,MA,197,2744,1075
2019,MG,677,21375,8718
2019,MS,124,3576,1435
2019,MT,226,5170,2137
2019,PA,136,2100,817
2019,PB,130,3619,1564
2019,PE,308,6405,2736
2019,PI,149,3115,1346
2019,PR,500,18259,7708
2019,RJ,353,10889,4606
2019,RN,90,3398,1437
2019,RO,89,4077,1531
2019,RR,38,640,237
2019,RS,304,11422,4594
2019,SC,403,19572,8427
2019,SE,62,1446,612
2019,SP,204,10223,4377
2019,TO,79,1213,520
2020,AC,13,660,300
2020,AL,82,1469,628
2020,AM,16,394,138
2020,AP,5,399,155
2020,BA,505,8442,3453
2020,CE,176,3633,1571
2020,DF,39,2455,1040
2020,ES,142,5647,2533
2020,GO,271,7779,3226
2020,MA,244,2895,1153
2020,MG,717,19814,8371
2020,MS,139,3592,1540
2020,MT,232,4942,2194
2020,PA,123,2444,962
2020,PB,103,3142,1401
2020,PE,317,5986,2559
2020,PI,157,2715,1201
2020,PR,527,15937,7184
2020,RJ,272,9806,4234
